question,answer,category
How many courses does NIU currently list?,NIU's current Schools page describes 75+ multidisciplinary courses offered through 13 schools.,University Information
How many schools does NIU currently list?,"NIU's current Schools page describes 13 schools offering 75+ multidisciplinary courses. Some newer 2026–27 programme pages may present a different school count, so applicants should refer to the latest NIU programme listing for the current count.",University Information
Does NIU offer BTech Computer Science and Engineering?,Yes. The 2026-27 course and fee page lists B.Tech Computer Science & Engineering as a four-year undergraduate program.,Courses & Programs
Can students get btech computer science and engineering at NIU?,Yes. The 2026-27 course and fee page lists B.Tech Computer Science & Engineering as a four-year undergraduate program.,Courses & Programs
Does NIU provide btech computer science and engineering?,Yes. The 2026-27 course and fee page lists B.Tech Computer Science & Engineering as a four-year undergraduate program.,Courses & Programs
What is the duration of B.Tech Computer Science and Engineering at NIU?,B.Tech Computer Science & Engineering is listed as a 4-year programme for 2026-27.,Courses & Programs
What is the programme length for B.Tech Civil Engineering at NIU?,B.Tech Civil Engineering is listed as a 4-year programme.,Courses & Programs
Is btech computer science and engineering available at NIU?,Yes. The 2026-27 course and fee page lists B.Tech Computer Science & Engineering as a four-year undergraduate program.,Courses & Programs
How long is B.Tech Civil Engineering at NIU?,B.Tech Civil Engineering is listed as a 4-year programme.,Courses & Programs
What is the duration of B.Tech Mechanical Engineering at NIU?,B.Tech Mechanical Engineering is listed as a 4-year programme.,Courses & Programs
What is the eligibility for B.Tech at NIU?,"For the relevant B.Tech programmes, the 2026-27 course page lists minimum 50% marks in 10+2 with Physics, Mathematics and Chemistry. Applicants should verify the exact programme.",Admissions & Eligibility
What is the eligibility for B.Tech Biotechnology at NIU?,"The 2026-27 course page lists minimum 50% marks in 10+2 with Physics and Maths/Biology as compulsory and any one from Chemistry, Biotechnology or Biology for B.Tech Biotechnology.",Admissions & Eligibility
What are the eligibility requirements for B.Tech at NIU?,"For the relevant B.Tech programmes, the 2026-27 course page lists minimum 50% marks in 10+2 with Physics, Mathematics and Chemistry. Applicants should verify the exact programme.",Admissions & Eligibility
What are the eligibility requirements for B.Tech Biotechnology at NIU?,"The 2026-27 course page lists minimum 50% marks in 10+2 with Physics and Maths/Biology as compulsory and any one from Chemistry, Biotechnology or Biology for B.Tech Biotechnology.",Admissions & Eligibility
Are Class 12 marksheets required for NIU Online UG admission?,Yes. NIU Online lists Class 10 and 12 marksheets for UG applicants.,Admissions & Eligibility
What are the eligibility requirements for Online MBA at NIU?,Online MBA requires a bachelor's degree in any discipline from a recognised university or equivalent.,Admissions & Eligibility
Is a passport-size photograph required for NIU Online admission?,Yes. NIU Online lists a passport-size photograph among basic application documents.,Admissions & Eligibility
Is a graduation marksheet required for NIU Online PG admission?,Yes. NIU Online lists the graduation marksheet/degree for PG applicants.,Admissions & Eligibility
What is the listed fee for B.Tech Computer Science and Engineering at NIU?,"The 2026-27 course page lists the full course fee for B.Tech Computer Science & Engineering as ₹7,07,700.",Fees & Scholarships
What is the listed fee for B.Tech Biotechnology at NIU?,"The 2026-27 course page lists the full course fee for B.Tech Biotechnology as ₹5,89,000.",Fees & Scholarships
Are NIU scholarships applicable to all fees?,No. NIU's 2026–27 fee structure states that the listed scholarships are applicable only to tuition fees for the first year.,Fees & Scholarships
Can NIU Online fees be paid in instalments?,Yes. NIU Online provides semester-wise payment and EMI/instalment options.,Fees & Scholarships
Are NIU scholarships applicable to tuition fees?,"NIU states that its published scholarships are applied to applicable tuition fees and may exclude items such as application, examination, activity, security, hostel and transport charges.",Fees & Scholarships
Does an NIU scholarship cover hostel charges?,No. NIU states that its regular scholarship does not cover hostel accommodation fees.,Fees & Scholarships
Can academic misconduct affect NIU scholarship eligibility?,Yes. NIU's scholarship conditions require students to maintain discipline and avoid misconduct.,Fees & Scholarships
Can a gap year affect NIU scholarship eligibility?,NIU's published scholarship conditions state that the scholarship does not apply if there is a gap between academic sessions.,Fees & Scholarships
What is the placement eligibility requirement at NIU?,"NIU's placement information requires students to meet the minimum attendance requirement prescribed by their academic programme, with 75% attendance specified.",Placements & Internships
